timestamp,open,high,low,close,volume
1758909600000,109856.1,110255.6,109648,109674.5,301264906.0397
1758913200000,109674.5,109678,108951.5,109111.5,501019567.0529
1758916800000,109111.5,109351,109033.2,109245.4,214938476.5831
1758920400000,109245.4,109499.1,109130.7,109418.2,117469546.7692
1758924000000,109418.2,109561.1,109295.4,109518.4,98678409.4264
1758927600000,109518.4,109640,109375,109592.1,76622232.5775
1758931200000,109592.1,109617.9,109431.3,109607,73729209.3762
1758934800000,109607,109625,109261.6,109370.5,199574384.6184
1758938400000,109370.5,109427.5,109263.1,109354.7,87576328.43
1758942000000,109354.7,109710.9,109320.3,109501.3,179083605.6957
1758945600000,109501.3,109689.2,109455.3,109606.1,89450439.9577
1758949200000,109606.1,109638.4,109532.2,109588.1,34924247.2678
1758952800000,109588.1,109588.1,109430,109491,34827177.5482
1758956400000,109491,109527.7,109286.9,109359.2,93902642.4586
1758960000000,109359.2,109359.2,109200.3,109212.6,166033006.9332
1758963600000,109212.6,109316.2,108988,109256.5,222997136.6559
1758967200000,109256.5,109442.5,109206.3,109388.3,84872362.419
1758970800000,109388.3,109400,109241.3,109276.1,33048754.1369
1758974400000,109276.1,109434,109186.1,109351.6,73555606.8874
1758978000000,109351.6,109358.2,109237.1,109260.1,58715515.4529
1758981600000,109260.1,109356.3,109196.3,109235.4,71070652.0447
1758985200000,109235.4,109399.9,109113.9,109342.4,129997093.9481
1758988800000,109342.4,109388.8,109261.5,109350.2,82133266.1391
1758992400000,109350.2,109376.1,109190.2,109329.1,90893280.312
1758996000000,109329.1,109400,109291,109380.9,39355464.1768
1758999600000,109380.9,109400.6,109339.7,109380,30227041.095
1759003200000,109380,109398.6,109296.3,109342.1,39012140.9854
1759006800000,109342.1,109445.9,109339.8,109428.7,40628674.6083
1759010400000,109428.7,109665.5,109421.5,109555.4,119264210.2396
1759014000000,109555.4,109628.5,109407.3,109585.6,59439072.8004
1759017600000,109585.6,109747,109493.3,109561.1,110277364.867
1759021200000,109561.1,109610.8,109271,109301.5,184712531.7087
1759024800000,109301.5,109500,109291.3,109390.7,119262641.6248
1759028400000,109390.7,109494,109348.5,109395.1,39690839.7408
1759032000000,109395.1,109440.3,109295.9,109327,37406899.2958
1759035600000,109327,109360.3,109283.4,109298.2,43765913.9917
1759039200000,109298.2,109411.2,109180.7,109366.5,66405345.689
1759042800000,109366.5,109509.4,109290,109469.8,67525312.1435
1759046400000,109469.8,109549,109371.5,109470.6,121294363.949
1759050000000,109470.6,109520.9,109252,109464.8,214038923.1103
1759053600000,109464.8,109464.8,109294.4,109308.4,79791736.6847
1759057200000,109308.4,109411.1,109180.7,109325.7,143447238.6604
1759060800000,109325.7,109406.3,109133.8,109255.9,162035503.309
1759064400000,109255.9,109647.8,109255.8,109588.5,190078513.5328
1759068000000,109588.5,109863.1,109455,109805.4,173188981.4476
